	pater	mater	filius	filia
ammianus.rerum_gestarum.part.14.tess	3	0	3	1
ammianus.rerum_gestarum.part.15.tess	1	0	1	0
ammianus.rerum_gestarum.part.16.tess	1	0	2	0
ammianus.rerum_gestarum.part.17.tess	0	0	1	0
ammianus.rerum_gestarum.part.18.tess	0	1	0	1
ammianus.rerum_gestarum.part.19.tess	1	0	2	0
ammianus.rerum_gestarum.part.20.tess	0	0	0	0
ammianus.rerum_gestarum.part.21.tess	0	0	0	0
ammianus.rerum_gestarum.part.22.tess	2	1	3	1
ammianus.rerum_gestarum.part.23.tess	1	1	1	0
ammianus.rerum_gestarum.part.24.tess	0	0	1	0
ammianus.rerum_gestarum.part.25.tess	1	1	1	0
ammianus.rerum_gestarum.part.26.tess	0	1	0	0
ammianus.rerum_gestarum.part.27.tess	0	0	2	0
ammianus.rerum_gestarum.part.28.tess	1	0	1	1
ammianus.rerum_gestarum.part.29.tess	0	0	2	1
ammianus.rerum_gestarum.part.30.tess	1	0	3	0
ammianus.rerum_gestarum.part.31.tess	1	0	1	0
anonymous.laudes_domini.tess	2	0	0	0
apuleius.apologia.tess	5	5	7	1
apuleius.florida.tess	1	1	0	0
apuleius.metamorphoses.part.1.tess	1	0	0	0
apuleius.metamorphoses.part.10.tess	3	0	1	0
apuleius.metamorphoses.part.11.tess	0	0	0	0
apuleius.metamorphoses.part.2.tess	0	0	1	0
apuleius.metamorphoses.part.3.tess	0	0	0	0
apuleius.metamorphoses.part.4.tess	1	1	0	1
apuleius.metamorphoses.part.5.tess	0	3	2	0
apuleius.metamorphoses.part.6.tess	1	0	1	2
apuleius.metamorphoses.part.7.tess	0	1	0	0
apuleius.metamorphoses.part.8.tess	0	1	0	0
apuleius.metamorphoses.part.9.tess	1	2	0	1
aristotle.economics_book_3.tess	0	0	1	1
augustine.de_doctrina_christiana.part.4.tess	2	1	0	0
augustine.epistulae_selections.part.1.1-10.tess	1	1	0	0
augustine.epistulae_selections.part.2.11-20.tess	1	3	0	0
augustine.epistulae_selections.part.3.21-30.tess	2	1	3	0
augustine.epistulae_selections.part.4.31-40.tess	1	0	3	0
augustine.epistulae_selections.part.5.41-50.tess	0	1	1	0
augustine.epistulae_selections.part.6.51-62.tess	5	1	1	3
aurelius_victor.de_caesaribus.tess	5	1	3	1
aurelius_victor.epitome_de_caesaribus.tess	7	2	12	1
ausonius.cento_nuptialis.tess	0	2	0	0
ausonius.commemoratio_professorum_burdigalensium.tess	1	0	0	0
ausonius.cupido_cruciatus.tess	0	1	0	0
ausonius.de_bissula.tess	0	0	0	0
ausonius.de_herediolo.tess	2	0	0	0
ausonius.de_xii_caesaribus.tess	1	0	1	0
ausonius.eclogarum_liber.tess	0	0	0	0
ausonius.ephemeris_id_est_totius_diei_negotium.tess	3	0	2	0
ausonius.epicedion_in_patrem.tess	1	0	1	1
ausonius.epigrammata_ausonii_de_diversis_rebus.tess	3	3	0	1
ausonius.epistularum.tess	8	0	2	0
ausonius.epitaphia_heroum_qui_bello_troico_interfuerunt.tess	3	2	1	0
ausonius.gratiarum_actio.tess	2	0	2	0
ausonius.griphus_ternarii_numeri.tess	0	0	0	0
ausonius.libri_de_fastis_conclusio.tess	0	0	0	0
ausonius.ludus_septem_sapientum.tess	0	0	0	0
ausonius.mosella.tess	1	0	0	0
ausonius.oratio_consulis_ausonii_versibus_rhopalicis.tess	1	0	0	0
ausonius.ordo_urbium_nobilium.tess	1	0	0	0
ausonius.parentalia.tess	8	4	5	1
ausonius.praefatiunculae.tess	1	0	1	0
ausonius.precationes.tess	2	0	0	0
ausonius.technopaegnion.tess	1	0	0	0
ausonius.versus_paschales_pro_augusto_dicti.tess	2	0	0	0
bede.historiam_ecclesiasticam_gentis_anglorum.part.1.tess	4	1	4	1
bede.historiam_ecclesiasticam_gentis_anglorum.part.2.tess	10	2	8	5
bede.historiam_ecclesiasticam_gentis_anglorum.part.3.tess	5	2	11	8
bede.historiam_ecclesiasticam_gentis_anglorum.part.4.tess	4	9	5	3
bede.historiam_ecclesiasticam_gentis_anglorum.part.5.tess	5	1	4	3
boethius.consolatio_philosophiae.part.1.tess	0	0	0	0
boethius.consolatio_philosophiae.part.2.tess	0	0	0	0
boethius.consolatio_philosophiae.part.3.tess	2	0	0	0
boethius.consolatio_philosophiae.part.4.tess	0	0	0	0
boethius.consolatio_philosophiae.part.5.tess	0	0	0	0
boethius.de_fide_catholica.tess	3	0	7	0
boethius.liber_de_persona_et_duabus_naturis_contra_eutychen_et_nestorium.tess	0	0	2	0
boethius.quomodo_substantiae_in_eo_quod_sint_bonae_sint_cum_non_sint_substantialia_bona.tess	0	0	0	0
boethius.quomodo_trinitas.tess	13	0	11	0
boethius.utrum_pater.tess	14	0	14	0
caesar.de_bello_civili.part.1.tess	1	0	3	0
caesar.de_bello_civili.part.2.tess	0	0	1	0
caesar.de_bello_civili.part.3.tess	0	0	4	1
caesar.de_bello_gallico.part.1.tess	3	0	0	1
caesar.de_bello_gallico.part.2.tess	0	0	0	0
caesar.de_bello_gallico.part.3.tess	0	0	0	0
caesar.de_bello_gallico.part.4.tess	0	0	0	0
caesar.de_bello_gallico.part.5.tess	1	0	2	0
caesar.de_bello_gallico.part.6.tess	0	0	0	0
caesar.de_bello_gallico.part.7.tess	2	0	2	0
caesar.de_bello_gallico.part.8.tess	0	0	0	0
caesar_augustus.res_gestae_divi_augusti.tess	1	0	2	0
catullus.carmina.tess	12	9	2	1
celsus.de_medicina.part.1.tess	0	0	0	0
celsus.de_medicina.part.2.tess	0	0	0	0
celsus.de_medicina.part.3.tess	0	0	0	0
celsus.de_medicina.part.4.tess	0	0	0	0
celsus.de_medicina.part.5.tess	0	0	0	0
celsus.de_medicina.part.6.tess	0	0	0	0
celsus.de_medicina.part.7.tess	1	0	0	0
celsus.de_medicina.part.8.tess	0	0	0	0
cicero.academica.tess	0	0	0	0
cicero.brutus.tess	5	0	17	2
cicero.cum_populo_gratias_egit.tess	0	0	2	0
cicero.de_amicitia.tess	0	0	0	0
cicero.de_divinatione.tess	11	3	3	1
cicero.de_domo_sua.tess	2	2	5	2
cicero.de_fato.tess	0	0	0	0
cicero.de_finibus_bonorum_et_malorum.part.1.tess	1	0	0	0
cicero.de_finibus_bonorum_et_malorum.part.2.tess	1	0	1	0
cicero.de_finibus_bonorum_et_malorum.part.3.tess	0	0	0	0
