	date
ammianus.rerum_gestarum.part.14.pickle	391
ammianus.rerum_gestarum.part.15.pickle	391
ammianus.rerum_gestarum.part.16.pickle	391
ammianus.rerum_gestarum.part.17.pickle	391
ammianus.rerum_gestarum.part.18.pickle	391
ammianus.rerum_gestarum.part.19.pickle	391
ammianus.rerum_gestarum.part.20.pickle	391
ammianus.rerum_gestarum.part.21.pickle	391
ammianus.rerum_gestarum.part.22.pickle	391
ammianus.rerum_gestarum.part.23.pickle	391
ammianus.rerum_gestarum.part.24.pickle	391
ammianus.rerum_gestarum.part.25.pickle	391
ammianus.rerum_gestarum.part.26.pickle	391
ammianus.rerum_gestarum.part.27.pickle	391
ammianus.rerum_gestarum.part.28.pickle	391
ammianus.rerum_gestarum.part.29.pickle	391
ammianus.rerum_gestarum.part.30.pickle	391
ammianus.rerum_gestarum.part.31.pickle	391
anonymous.laudes_domini.pickle	399
apuleius.apologia.pickle	159
apuleius.florida.pickle	164
apuleius.metamorphoses.part.1.pickle	170
apuleius.metamorphoses.part.10.pickle	170
apuleius.metamorphoses.part.11.pickle	170
apuleius.metamorphoses.part.2.pickle	170
apuleius.metamorphoses.part.3.pickle	170
apuleius.metamorphoses.part.4.pickle	170
apuleius.metamorphoses.part.5.pickle	170
apuleius.metamorphoses.part.6.pickle	170
apuleius.metamorphoses.part.7.pickle	170
apuleius.metamorphoses.part.8.pickle	170
apuleius.metamorphoses.part.9.pickle	170
aristotle.economics_book_3.pickle	1295
augustine.de_doctrina_christiana.part.4.pickle	427
augustine.epistulae_selections.part.1.1-10.pickle	430
augustine.epistulae_selections.part.2.11-20.pickle	430
augustine.epistulae_selections.part.3.21-30.pickle	430
augustine.epistulae_selections.part.4.31-40.pickle	430
augustine.epistulae_selections.part.5.41-50.pickle	430
augustine.epistulae_selections.part.6.51-62.pickle	430
aurelius_victor.de_caesaribus.pickle	408
aurelius_victor.epitome_de_caesaribus.pickle	408
ausonius.cento_nuptialis.pickle	368
ausonius.commemoratio_professorum_burdigalensium.pickle	385
ausonius.cupido_cruciatus.pickle	383
ausonius.de_bissula.pickle	372
ausonius.de_herediolo.pickle	380
ausonius.de_xii_caesaribus.pickle	383
ausonius.eclogarum_liber.pickle	364
ausonius.ephemeris_id_est_totius_diei_negotium.pickle	380
ausonius.epicedion_in_patrem.pickle	
ausonius.epigrammata_ausonii_de_diversis_rebus.pickle	364
ausonius.epistularum.pickle	395
ausonius.epitaphia_heroum_qui_bello_troico_interfuerunt.pickle	385
ausonius.gratiarum_actio.pickle	379
ausonius.griphus_ternarii_numeri.pickle	368
ausonius.libri_de_fastis_conclusio.pickle	383
ausonius.ludus_septem_sapientum.pickle	390
ausonius.mosella.pickle	371
ausonius.oratio_consulis_ausonii_versibus_rhopalicis.pickle	380
ausonius.ordo_urbium_nobilium.pickle	383
ausonius.parentalia.pickle	
ausonius.praefatiunculae.pickle	379
ausonius.precationes.pickle	379
ausonius.technopaegnion.pickle	
ausonius.versus_paschales_pro_augusto_dicti.pickle	368
bede.historiam_ecclesiasticam_gentis_anglorum.part.1.pickle	732
bede.historiam_ecclesiasticam_gentis_anglorum.part.2.pickle	732
bede.historiam_ecclesiasticam_gentis_anglorum.part.3.pickle	732
bede.historiam_ecclesiasticam_gentis_anglorum.part.4.pickle	732
bede.historiam_ecclesiasticam_gentis_anglorum.part.5.pickle	732
boethius.consolatio_philosophiae.part.1.pickle	524
boethius.consolatio_philosophiae.part.2.pickle	524
boethius.consolatio_philosophiae.part.3.pickle	524
boethius.consolatio_philosophiae.part.4.pickle	524
boethius.consolatio_philosophiae.part.5.pickle	524
boethius.de_fide_catholica.pickle	524
boethius.liber_de_persona_et_duabus_naturis_contra_eutychen_et_nestorium.pickle	524
boethius.quomodo_substantiae_in_eo_quod_sint_bonae_sint_cum_non_sint_substantialia_bona.pickle	524
boethius.quomodo_trinitas.pickle	524
boethius.utrum_pater.pickle	524
caesar.de_bello_civili.part.1.pickle	-47
caesar.de_bello_civili.part.2.pickle	-47
caesar.de_bello_civili.part.3.pickle	-47
caesar.de_bello_gallico.part.1.pickle	-51
caesar.de_bello_gallico.part.2.pickle	-51
caesar.de_bello_gallico.part.3.pickle	-51
caesar.de_bello_gallico.part.4.pickle	-51
caesar.de_bello_gallico.part.5.pickle	-51
caesar.de_bello_gallico.part.6.pickle	-51
caesar.de_bello_gallico.part.7.pickle	-51
caesar.de_bello_gallico.part.8.pickle	-51
caesar_augustus.res_gestae_divi_augusti.pickle	14
catullus.carmina.pickle	-54
celsus.de_medicina.part.1.pickle	37
celsus.de_medicina.part.2.pickle	37
celsus.de_medicina.part.3.pickle	37
celsus.de_medicina.part.4.pickle	37
celsus.de_medicina.part.5.pickle	37
celsus.de_medicina.part.6.pickle	37
celsus.de_medicina.part.7.pickle	37
celsus.de_medicina.part.8.pickle	37
cicero.academica.pickle	-45
cicero.brutus.pickle	-46
cicero.cum_populo_gratias_egit.pickle	-56
cicero.de_amicitia.pickle	-44
cicero.de_divinatione.pickle	-44
cicero.de_domo_sua.pickle	-57
cicero.de_fato.pickle	-44
cicero.de_finibus_bonorum_et_malorum.part.1.pickle	-44
cicero.de_finibus_bonorum_et_malorum.part.2.pickle	-44
cicero.de_finibus_bonorum_et_malorum.part.3.pickle	-44
cicero.de_finibus_bonorum_et_malorum.part.4.pickle	-44
cicero.de_finibus_bonorum_et_malorum.part.5.pickle	-44
cicero.de_haruspicum_responso.pickle	-56
cicero.de_imperio_cn_pompei.pickle	-66
cicero.de_inventione.part.1.pickle	-87
cicero.de_inventione.part.2.pickle	-87
cicero.de_lege_agraria_contra_rullum.pickle	-63
cicero.de_natura_deorum.part.1.pickle	-45
cicero.de_natura_deorum.part.2.pickle	-45
cicero.de_natura_deorum.part.3.pickle	-45
cicero.de_officiis.part.1.pickle	-44
cicero.de_officiis.part.2.pickle	-44
cicero.de_officiis.part.3.pickle	-44
cicero.de_optimo_genere_oratorum.pickle	-46
cicero.de_oratore.part.1.pickle	-55
cicero.de_oratore.part.2.pickle	-55
cicero.de_oratore.part.3.pickle	-55
cicero.de_partitione_oratoria.pickle	-44
cicero.de_provinciis_consularibus.pickle	-56
cicero.de_republica.pickle	-51
cicero.de_senectute.pickle	-44
cicero.divinatio_in_c_verrem.part.1.pickle	-70
cicero.divinatio_in_c_verrem.part.2.pickle	-70
cicero.divinatio_in_c_verrem.part.3.pickle	-70
cicero.divinatio_in_c_verrem.part.4.pickle	-70
