	total
ammianus.rerum_gestarum.part.14.pickle	8205
ammianus.rerum_gestarum.part.15.pickle	6852
ammianus.rerum_gestarum.part.16.pickle	7643
ammianus.rerum_gestarum.part.17.pickle	7383
ammianus.rerum_gestarum.part.18.pickle	5034
ammianus.rerum_gestarum.part.19.pickle	5702
ammianus.rerum_gestarum.part.20.pickle	6315
ammianus.rerum_gestarum.part.21.pickle	7124
ammianus.rerum_gestarum.part.22.pickle	8893
ammianus.rerum_gestarum.part.23.pickle	6833
ammianus.rerum_gestarum.part.24.pickle	5777
ammianus.rerum_gestarum.part.25.pickle	6805
ammianus.rerum_gestarum.part.26.pickle	6316
ammianus.rerum_gestarum.part.27.pickle	6271
ammianus.rerum_gestarum.part.28.pickle	7149
ammianus.rerum_gestarum.part.29.pickle	7681
ammianus.rerum_gestarum.part.30.pickle	6050
ammianus.rerum_gestarum.part.31.pickle	9598
anonymous.laudes_domini.pickle	917
apuleius.apologia.pickle	21866
apuleius.florida.pickle	7884
apuleius.metamorphoses.part.1.pickle	3999
apuleius.metamorphoses.part.10.pickle	5770
apuleius.metamorphoses.part.11.pickle	4927
apuleius.metamorphoses.part.2.pickle	4805
apuleius.metamorphoses.part.3.pickle	4113
apuleius.metamorphoses.part.4.pickle	5132
apuleius.metamorphoses.part.5.pickle	4596
apuleius.metamorphoses.part.6.pickle	4516
apuleius.metamorphoses.part.7.pickle	4106
apuleius.metamorphoses.part.8.pickle	4839
apuleius.metamorphoses.part.9.pickle	6532
aristotle.economics_book_3.pickle	1743
augustine.de_doctrina_christiana.part.4.pickle	12417
augustine.epistulae_selections.part.1.1-10.pickle	8190
augustine.epistulae_selections.part.2.11-20.pickle	3671
augustine.epistulae_selections.part.3.21-30.pickle	6604
augustine.epistulae_selections.part.4.31-40.pickle	8031
augustine.epistulae_selections.part.5.41-50.pickle	9919
augustine.epistulae_selections.part.6.51-62.pickle	9837
aurelius_victor.de_caesaribus.pickle	10556
aurelius_victor.epitome_de_caesaribus.pickle	8965
ausonius.cento_nuptialis.pickle	1560
ausonius.commemoratio_professorum_burdigalensium.pickle	2633
ausonius.cupido_cruciatus.pickle	625
ausonius.de_bissula.pickle	372
ausonius.de_herediolo.pickle	248
ausonius.de_xii_caesaribus.pickle	852
ausonius.eclogarum_liber.pickle	2751
ausonius.ephemeris_id_est_totius_diei_negotium.pickle	1249
ausonius.epicedion_in_patrem.pickle	491
ausonius.epigrammata_ausonii_de_diversis_rebus.pickle	3746
ausonius.epistularum.pickle	10248
ausonius.epitaphia_heroum_qui_bello_troico_interfuerunt.pickle	1206
ausonius.gratiarum_actio.pickle	4143
ausonius.griphus_ternarii_numeri.pickle	595
ausonius.libri_de_fastis_conclusio.pickle	144
ausonius.ludus_septem_sapientum.pickle	1365
ausonius.mosella.pickle	2957
ausonius.oratio_consulis_ausonii_versibus_rhopalicis.pickle	206
ausonius.ordo_urbium_nobilium.pickle	1046
ausonius.parentalia.pickle	2599
ausonius.praefatiunculae.pickle	548
ausonius.precationes.pickle	469
ausonius.technopaegnion.pickle	1497
ausonius.versus_paschales_pro_augusto_dicti.pickle	187
bede.historiam_ecclesiasticam_gentis_anglorum.part.1.pickle	15030
bede.historiam_ecclesiasticam_gentis_anglorum.part.2.pickle	12032
bede.historiam_ecclesiasticam_gentis_anglorum.part.3.pickle	16530
bede.historiam_ecclesiasticam_gentis_anglorum.part.4.pickle	16871
bede.historiam_ecclesiasticam_gentis_anglorum.part.5.pickle	18096
boethius.consolatio_philosophiae.part.1.pickle	3395
boethius.consolatio_philosophiae.part.2.pickle	4510
boethius.consolatio_philosophiae.part.3.pickle	6636
boethius.consolatio_philosophiae.part.4.pickle	5671
boethius.consolatio_philosophiae.part.5.pickle	4388
boethius.de_fide_catholica.pickle	1927
boethius.liber_de_persona_et_duabus_naturis_contra_eutychen_et_nestorium.pickle	5922
boethius.quomodo_substantiae_in_eo_quod_sint_bonae_sint_cum_non_sint_substantialia_bona.pickle	1391
boethius.quomodo_trinitas.pickle	2943
boethius.utrum_pater.pickle	559
caesar.de_bello_civili.part.1.pickle	10901
caesar.de_bello_civili.part.2.pickle	6391
caesar.de_bello_civili.part.3.pickle	15044
caesar.de_bello_gallico.part.1.pickle	8172
caesar.de_bello_gallico.part.2.pickle	4157
caesar.de_bello_gallico.part.3.pickle	3587
caesar.de_bello_gallico.part.4.pickle	4580
caesar.de_bello_gallico.part.5.pickle	7377
caesar.de_bello_gallico.part.6.pickle	5468
caesar.de_bello_gallico.part.7.pickle	11476
caesar.de_bello_gallico.part.8.pickle	6478
caesar_augustus.res_gestae_divi_augusti.pickle	2346
catullus.carmina.pickle	12857
celsus.de_medicina.part.1.pickle	7538
celsus.de_medicina.part.2.pickle	13150
celsus.de_medicina.part.3.pickle	13274
celsus.de_medicina.part.4.pickle	10893
celsus.de_medicina.part.5.pickle	17458
celsus.de_medicina.part.6.pickle	11298
celsus.de_medicina.part.7.pickle	17559
celsus.de_medicina.part.8.pickle	11392
cicero.academica.pickle	4875
cicero.brutus.pickle	25095
cicero.cum_populo_gratias_egit.pickle	2641
cicero.de_amicitia.pickle	9341
cicero.de_divinatione.pickle	27551
cicero.de_domo_sua.pickle	15146
cicero.de_fato.pickle	4948
cicero.de_finibus_bonorum_et_malorum.part.1.pickle	7182
cicero.de_finibus_bonorum_et_malorum.part.2.pickle	12620
cicero.de_finibus_bonorum_et_malorum.part.3.pickle	7876
cicero.de_finibus_bonorum_et_malorum.part.4.pickle	8539
cicero.de_finibus_bonorum_et_malorum.part.5.pickle	11055
cicero.de_haruspicum_responso.pickle	7527
cicero.de_imperio_cn_pompei.pickle	6666
cicero.de_inventione.part.1.pickle	15114
cicero.de_inventione.part.2.pickle	17192
cicero.de_lege_agraria_contra_rullum.pickle	13783
cicero.de_natura_deorum.part.1.pickle	11201
cicero.de_natura_deorum.part.2.pickle	15436
cicero.de_natura_deorum.part.3.pickle	8942
cicero.de_officiis.part.1.pickle	14483
cicero.de_officiis.part.2.pickle	8604
cicero.de_officiis.part.3.pickle	11148
cicero.de_optimo_genere_oratorum.pickle	1603
cicero.de_oratore.part.1.pickle	18288
cicero.de_oratore.part.2.pickle	27073
cicero.de_oratore.part.3.pickle	16799
cicero.de_partitione_oratoria.pickle	9949
cicero.de_provinciis_consularibus.pickle	5127
cicero.de_republica.pickle	21876
cicero.de_senectute.pickle	8261
cicero.divinatio_in_c_verrem.part.1.pickle	4631
cicero.divinatio_in_c_verrem.part.2.pickle	15543
cicero.divinatio_in_c_verrem.part.3.pickle	19062
cicero.divinatio_in_c_verrem.part.4.pickle	24904
cicero.divinatio_in_c_verrem.part.5.pickle	17221
cicero.divinatio_in_c_verrem.part.6.pickle	19182
